route,page_title,role,workspace,top_level_nav,subnav,page_type,public_or_private,expected_audience,actual_audience,primary_action,has_breadcrumbs,has_back_path,has_workspace_chip,has_role_chip,has_bot_panel,mobile_ready,notes
/operations?workspace=platform&view=content&section=bundles,Bundles,Super Admin,Platform,Content,Bundles,page,private,Shloimie / platform operator,Admin/operator,New Task,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=calendar&section=overview,Overview,Super Admin,Platform,Calendar,Overview,dashboard,private,Shloimie / platform operator,Admin/operator,New Event,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=calendar&section=week,Week,Super Admin,Platform,Calendar,Week,page,private,Shloimie / platform operator,Admin/operator,New Event,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=calendar&section=month,Month,Super Admin,Platform,Calendar,Month,page,private,Shloimie / platform operator,Admin/operator,New Event,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=calendar&section=classes,Classes,Super Admin,Platform,Calendar,Classes,page,private,Shloimie / platform operator,Admin/operator,New Event,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=calendar&section=students,Students,Super Admin,Platform,Calendar,Students,page,private,Shloimie / platform operator,Admin/operator,New Event,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=calendar&section=provider,Provider,Super Admin,Platform,Calendar,Provider,page,private,Shloimie / platform operator,Admin/operator,New Event,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=calendar&section=google_sync,Google Sync,Super Admin,Platform,Calendar,Google Sync,page,private,Shloimie / platform operator,Admin/operator,New Event,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=calendar&section=settings,Settings,Super Admin,Platform,Calendar,Settings,settings,private,Shloimie / platform operator,Admin/operator,New Event,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=service_providers&section=overview,Overview,Super Admin,Platform,Service Providers,Overview,dashboard,private,Shloimie / platform operator,Admin/operator,Add Provider,true,true,true,true,true,,Too many card-like panels.
/operations?workspace=platform&view=service_providers&section=directory,Directory,Super Admin,Platform,Service Providers,Directory,page,private,Shloimie / platform operator,Admin/operator,Add Provider,true,true,true,true,true,,Too many card-like panels.
/operations?workspace=platform&view=service_providers&section=workspaces,Workspaces,Super Admin,Platform,Service Providers,Workspaces,page,private,Shloimie / platform operator,Admin/operator,Add Provider,true,true,true,true,true,,Too many visible actions. Too many card-like panels. Too much not-configured/placeholder language.
/operations?workspace=platform&view=service_providers&section=commercial,Commercial,Super Admin,Platform,Service Providers,Commercial,page,private,Shloimie / platform operator,Admin/operator,Add Provider,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=service_providers&section=plans,Plans,Super Admin,Platform,Service Providers,Plans,page,private,Shloimie / platform operator,Admin/operator,Add Provider,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=service_providers&section=onboarding,Onboarding,Super Admin,Platform,Service Providers,Onboarding,page,private,Shloimie / platform operator,Admin/operator,Add Provider,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=service_providers&section=access_checklist,Access Checklist,Super Admin,Platform,Service Providers,Access Checklist,page,private,Shloimie / platform operator,Admin/operator,Add Provider,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=service_providers&section=integration_audit,Integration Audit,Super Admin,Platform,Service Providers,Integration Audit,page,private,Shloimie / platform operator,Admin/operator,Add Provider,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=service_providers&section=communities,Communities,Super Admin,Platform,Service Providers,Communities,page,private,Shloimie / platform operator,Admin/operator,Add Provider,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=service_providers&section=content,Content,Super Admin,Platform,Service Providers,Content,page,private,Shloimie / platform operator,Admin/operator,Add Provider,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
