Canonical URL,Implementation,Audience,Authentication,Entry point,Back path,Inbound links,Outbound links,Status,Dependencies,Review state,Registry surface,Discovered as
/api/bna/one-time/view-as-rabbi/session,server.js:10299,admin,protected,direct/server/static,none detected,,,internal-only,local,ready,operations_api_one_time_view_as_rabbi_session,route-registry | server-get
/api/bna/one-time/view-as-rabbi/start,server.js:10265,admin,protected,direct/server/static,none detected,,,internal-only,local,ready,operations_api_one_time_view_as_rabbi_start,route-registry | server-post
/api/bna/operator-setup/bootstrap-package,server.js:60482,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/operator-setup/download/:token,server.js:60546,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/operator-setup/status,server.js:60474,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/ops-access-links,server.js:60434,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/ops/queue-audits/latest,server.js:62253,internal,protected,direct/server/static,none detected,,,internal-only,mocked integration,ready,,server-get
/api/bna/ops/queue-health,server.js:62238,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/ops/queue/requeue,server.js:62274,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/ops/report,server.js,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/parent-access/link,server.js:46617,parent,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/parent-access/password-reset,server.js:46687,parent,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/parent-accounts/access-code,server.js:47030,parent,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/parent-announcements,server.js:64671 | server.js:64690,parent,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/parent-announcements/recipients,server.js:64661,parent,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/parent-leads,server.js:43740 | server.js:43848,parent,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/parent-leads/:id,server.js:43978,parent,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-patch
/api/bna/parent-progress-reports/:id/approve,server.js:64433,parent,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/parent-progress-reports/generate,server.js:64340,parent,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/parent-student-links,server.js:64267 | server.js:64294,parent,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/payment-intake,server.js:53910 | server.js:54165,internal,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,,server-get | server-post
/api/bna/payment-intake/:id,server.js:54215 | server.js:54267,internal,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,,server-delete | server-patch
/api/bna/payment-intake/reconcile-paid,server.js:53942,internal,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,,server-post
/api/bna/payment-reminders/due,server.js:57765,internal,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,,server-get
/api/bna/payment-reminders/run,server.js:57792,internal,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,,server-post
/api/bna/payments,server.js:57731 | server.js:57813,internal,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,,server-get | server-post
/api/bna/pending-briefs,server.js:78361,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/people,server.js:62780 | server.js:62883,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/pipeline-cards,server.js:76673 | server.js:76706,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/pipeline-cards/:id,server.js:76745,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-patch
/api/bna/portal-access/next-year-readiness,server.js:48040 | server.js:48048,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/product-leads,server.js:73460 | server.js:73477,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/project-meetings,server.js:55314 | server.js:55378,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/project-meetings/one-time-drive-brief/preview,server.js:55352,admin,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,operations_api_one_time_drive_brief_preview,route-registry | server-post
/api/bna/projects,server.js:62528,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/provider-categories,server.js:44523 | server.js:44531,provider,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/provider-categories/:id,server.js:44565,provider,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-patch
/api/bna/provider-leads,server.js:44596,provider,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/provider-leads/:id,server.js:44613,provider,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-patch
/api/bna/provider-messages,server.js:45641,provider,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/provider-onboarding-intakes,server.js:45625,provider,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
