id,label,group,viewport,rating,status,screenshot,url,visibleButtonCount,visibleLinkCount,disabledButtonCount
operations-platform-students-documents,Operations / Platform / Super Admin / Students / Documents,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-students-documents.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=documents,31,1,0
operations-platform-students-portal_links,Operations / Platform / Super Admin / Students / Portal Links,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-students-portal_links.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=portal_links,31,1,0
operations-platform-students-tablet_access,Operations / Platform / Super Admin / Students / Tablet Access,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-students-tablet_access.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=tablet_access,31,1,0
operations-platform-students-profile,Operations / Platform / Super Admin / Students / Profile,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-students-profile.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=profile,31,1,0
operations-platform-students-parent_family,Operations / Platform / Super Admin / Students / Parent Family,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-students-parent_family.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=parent_family,31,1,0
operations-platform-students-analysis,Operations / Platform / Super Admin / Students / Analysis,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-students-analysis.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=analysis,31,1,0
operations-platform-students-meetings,Operations / Platform / Super Admin / Students / Meetings,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-students-meetings.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=meetings,31,1,0
operations-platform-students-bot_settings,Operations / Platform / Super Admin / Students / Bot Settings,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-students-bot_settings.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=bot_settings,31,1,0
operations-platform-students-activity,Operations / Platform / Super Admin / Students / Activity,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-students-activity.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=activity,21,1,0
operations-platform-students-next_year_login,Operations / Platform / Super Admin / Students / Next Year Login,Operations,desktop,8.8,ok,screenshots/desktop/operations-platform-students-next_year_login.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=next_year_login,31,1,0
